price
0.2
15.0
0.1
2.5
1.0
0.35
0.5
1.5
2.5
22.0
2.0
65.0
3.0
9.0
1.0
1.0
0.25
1.0
5.0
2.4
2.0
1.0
0.75
2.5
3.0
6.0
1.5
20.0
1.5
1.5
12.0
1.2
15.0
1.2
7.0
40.0
8.5
3.5
12.0
2.0
30.0
4.0
18.0
110.0
8.0
28.0
2.0
4.5
9.0
0.7
0.2
55.0
4.0
5.0
2.0
60.0
0.2
14.0
1.0
30.0
0.6
0.7
0.3
3.0
1.2
6.0
30.0
1.5
2.5
1.0
1.0
1.0
6.0
70.0
0.2
50.0
3.5
15.0
2.5
15.0
0.75
6.5
2.0
1.5
0.4
13.0
0.15
1.2
2.5
2.5
0.05
4.0
1.5
15.0
0.8
8.0
3.5
1.0
9.0
7.0
5.5
2.5
3.5
20.0
20.0
12.0
3.0
12.0
25.0
15.0
5.0
1.5
0.75
3.0
28.0
3.5
0.25
1.7
5.0
2.5
12.0
0.25
4.5
0.5
1.5
5.0
3.0
2.0
1.0
20.0
20.0
65.0
1.5
12.0
3.5
8.0
1.0
15.0
0.25
1.5
50.0
0.025
4.0
1.8
2.0
20.0
13.0
2.2
5.0
1.5
35.0
3.5
9.0
2.8
2.0
4.5
1.7
8.0
12.0
4.0
5.0
7.5
1.0
5.0
3.0
35.0
0.5
1.0
1.2
3.0
2.0
6.0
7.0
12.0
9.0
15.0
0.7
0.5
6.5
2.0
0.2
6.0
3.0
10.0
0.5
4.5
2.5
0.2
0.4
2.0
4.0
11.0
3.5
4.0
5.5
3.5
7.0
12.0
4.0
1.0
3.0
0.3
0.2
2.0
6.0
5.0
5.0
13.0
4.5
20.0
3.0
2.0
0.2
2.5
4.0
8.5
4.0
1.0
9.0
5.5
5.5
15.0
10.0
10.0
30.0
3.5
17.0
6.0
75.0
3.5
10.0
3.5
10.0
2.0
2.5
12.0
0.6
1.3
0.2
7.0
4.0
1.1
0.3
3.0
9.0
9.0
0.3
4.5
2.0
6.5
4.5
0.2
2.5
9.0
12.0
3.0
75.0
5.0
1.5
0.4
3.5
0.75
15.0
1.5
0.1
11.0
0.7
4.0
2.0
120.0
35.0
3.0
10.0
10.0
5.5
35.0
0.4
14.0
9.0
6.5
0.3
4.0
5.0
10.0
0.6
13.0
22.0
5.0
6.0
0.5
1.8
0.2
2.0
80.0
30.0
9.0
0.2
1.5
1.5
8.0
0.3
1.0
3.0
5.0
7.5
8.0
2.5
3.5
2.0
1.0
0.5
5.5
12.0
10.0
0.7
0.35
10.0
1.5
5.0
3.0
14.0
1.5
2.0
85.0
35.0
3.0
5.0
0.7
2.2
40.0
3.5
9.0
4.0
1.0
6.5
7.0
0.3
0.1
25.0
0.2
0.5
0.3
8.5
7.0
20.0
2.5
0.35
1.5
2.0
3.5
2.0
4.0
2.5
28.0
3.5
0.5
6.5
1.0
14.0
1.0
28.0
2.5
8.5
3.5
14.0
2.5
2.5
12.0
0.4
30.0
12.0
0.3
9.0
0.25
45.0
4.5
1.0
0.7
1.2
1.0
6.0
7.5
0.6
2.0
2.5
3.5
1.5
0.1
0.8
6.5
9.0
3.0
0.2
1.5
1.5
2.0
10.0
2.0
0.8
0.5
65.0
3.0
0.5
17.0
1.8
2.0
3.5
15.0
